method,relaxations,time
Djikstra,1169630,0.19006237
Djikstra,44914,0.007040543
Djikstra,1091998,0.21136364
Djikstra,1144622,0.27620664
Djikstra,869481,0.13024202
Djikstra,68478,0.009535667
Djikstra,668904,0.12573001
Djikstra,871970,0.1311381
Djikstra,14400,0.002960714
Djikstra,859823,0.15672395
Djikstra,665686,0.105795674
Djikstra,60205,0.010107602
Djikstra,648379,0.10457802
Djikstra,490035,0.08692255
Djikstra,513903,0.08604484
Djikstra,34569,0.006675104
Djikstra,216814,0.0353898
Djikstra,179642,0.031373844
Djikstra,452908,0.07420191
Djikstra,640537,0.10385313
Djikstra,1147809,0.18195128
Djikstra,677989,0.11670389
Djikstra,528923,0.08303326
Djikstra,1164554,0.18765084
Djikstra,229305,0.03541386
Djikstra,756089,0.11770914
Djikstra,507022,0.06841389
Djikstra,723352,0.13075475
Djikstra,908733,0.22546612
Djikstra,702207,0.14633046
Djikstra,393485,0.061509635
Djikstra,1094573,0.20684087
Djikstra,275321,0.044639647
Djikstra,210986,0.03071212
Djikstra,561821,0.08662022
Djikstra,30247,0.004652414
Djikstra,457470,0.06903276
Djikstra,64953,0.009557805
Djikstra,354015,0.06140721
Djikstra,684878,0.11291896
Djikstra,1117687,0.16927971
Djikstra,226249,0.034827262
Djikstra,616767,0.100003965
Djikstra,1013663,0.26614636
Djikstra,88849,0.02009674
Djikstra,64006,0.014365501
Djikstra,173498,0.03960246
Djikstra,900637,0.20646806
Djikstra,1042220,0.22578987
Djikstra,577861,0.120931126
Djikstra,617031,0.14573374
Djikstra,599535,0.13152921
Djikstra,998304,0.22451966
Djikstra,889194,0.20490953
Djikstra,545439,0.087448694
Djikstra,259114,0.042499732
Djikstra,351336,0.07210176
Djikstra,448354,0.076726094
Djikstra,1153380,0.21785176
Djikstra,672841,0.12120695
Djikstra,685669,0.124592416
Djikstra,445348,0.0789331
Djikstra,302682,0.050133158
Djikstra,382339,0.057638515
Djikstra,25866,0.004687596
Djikstra,533861,0.07188898
Djikstra,854317,0.13194543
Djikstra,770925,0.11819732
Djikstra,1128323,0.20204477
Djikstra,360658,0.058062647
Djikstra,550302,0.09146416
Djikstra,850095,0.14122994
Djikstra,81546,0.03082823
Djikstra,42354,0.023629555
Djikstra,26829,0.014527144
Djikstra,1172030,0.28983492
Djikstra,396880,0.07925573
Djikstra,1168460,0.26355484
Djikstra,948032,0.17534898
Djikstra,529673,0.13306585
Djikstra,1827,0.001954444
Djikstra,166352,0.038849432
Djikstra,831877,0.17816721
Djikstra,1105592,0.17271735
Djikstra,357058,0.06142641
Djikstra,930743,0.13830875
Djikstra,534476,0.098991655
Djikstra,711696,0.13699777
Djikstra,763241,0.13187957
Djikstra,469438,0.08982246
Djikstra,455723,0.07219068
Djikstra,969752,0.1618423
Djikstra,994828,0.17998382
Djikstra,42681,0.007668634
Djikstra,454556,0.07194617
Djikstra,695349,0.10402834
Djikstra,808043,0.12899433
Djikstra,597322,0.10045037
Djikstra,907961,0.15340707
Djikstra,1031609,0.17289324
Djikstra,848402,0.1572161
Djikstra,103272,0.02702646
Djikstra,50267,0.007523421
Djikstra,252282,0.03816175
Djikstra,25929,0.005115155
Djikstra,48065,0.007321938
Djikstra,255263,0.040400803
Djikstra,747648,0.13168779
Djikstra,569606,0.09741223
Djikstra,413873,0.07826591
Djikstra,7929,0.002586392
Djikstra,627122,0.12429462
Djikstra,695842,0.17229563
Djikstra,1069934,0.174096
Djikstra,538180,0.08404035
Djikstra,47247,0.008774213
Djikstra,267112,0.039235484
Djikstra,1099248,0.17857106
Djikstra,369550,0.059975646
Djikstra,674885,0.10340994
Djikstra,445115,0.068045855
Djikstra,318643,0.050191145
Djikstra,437573,0.07355839
Djikstra,220042,0.039230198
Djikstra,969253,0.1507815
Djikstra,484967,0.071421176
Djikstra,859745,0.13874304
Djikstra,740766,0.14617856
Djikstra,606270,0.11301061
Djikstra,1162293,0.21624419
Djikstra,844744,0.16653927
Djikstra,446393,0.08573673
Djikstra,1143823,0.1991007
Djikstra,298188,0.048633352
Djikstra,1070661,0.17573774
Djikstra,384014,0.087534174
Djikstra,643811,0.12957343
Djikstra,122860,0.020294623
Djikstra,730658,0.16134769
Djikstra,77224,0.015254062
Djikstra,331724,0.067865536
Djikstra,491836,0.08444434
Djikstra,941678,0.1465673
Djikstra,259576,0.037818216
Djikstra,6636,0.001860174
Djikstra,980740,0.16266103
Djikstra,145990,0.022118
Djikstra,782190,0.13033451
Djikstra,554148,0.082293585
Djikstra,124551,0.019290306
Djikstra,906200,0.1659178
Djikstra,275879,0.05544233
Djikstra,712195,0.14178795
Djikstra,284079,0.048486285
Djikstra,222419,0.031696696
Djikstra,202332,0.035141475
Djikstra,196391,0.03450563
Djikstra,91961,0.02656661
Djikstra,872466,0.14746502
Djikstra,680003,0.112161554
