method,relaxations,time,distance
Dijkstra,42105723,0.1531399,13392.0

Dijkstra,42236716,0.0658095,7858.0

Dijkstra,42743876,0.2008913,20090.0

Dijkstra,42972288,0.1195646,7539.0

Dijkstra,43483252,0.244582,13742.0

Dijkstra,43584866,0.0411704,6571.0

Dijkstra,43821248,0.1094377,6631.0

Dijkstra,44127582,0.1400737,6935.0

Dijkstra,44514996,0.1865932,8917.0

Dijkstra,44777367,0.1079651,8947.0

Dijkstra,44975619,0.0839406,6623.0

Dijkstra,45224078,0.1160216,5942.0

Dijkstra,45289139,0.0255943,4453.0

Dijkstra,45849855,0.2465797,14836.0

Dijkstra,45912065,0.02696,3742.0

Dijkstra,46387587,0.2599529,19052.0

Dijkstra,46630740,0.1122502,6145.0

Dijkstra,46949859,0.1475322,11407.0

Dijkstra,47300730,0.2058712,7401.0

Dijkstra,47598977,0.2424424,12613.0

Dijkstra,47893104,0.1348976,9297.0

Dijkstra,48217217,0.1416383,12630.0

Dijkstra,48524282,0.1390753,11492.0

Dijkstra,48928721,0.2120811,15224.0

Dijkstra,49435347,0.2282627,20056.0

Dijkstra,49741243,0.1292472,13255.0

Dijkstra,50199380,0.1950461,18243.0

Dijkstra,50263705,0.0233802,5776.0

Dijkstra,50459833,0.0962925,6185.0

Dijkstra,50978990,0.2238721,15398.0

Dijkstra,51364082,0.1860131,13761.0

Dijkstra,51812432,0.203807,16842.0

Dijkstra,52196037,0.1577351,13827.0

Dijkstra,52226674,0.0154969,2629.0

Dijkstra,52376393,0.0571659,5981.0

Dijkstra,52906800,0.2213901,21755.0

Dijkstra,53253387,0.1310298,15398.0

Dijkstra,53306033,0.0192709,2859.0

Dijkstra,53463918,0.0681005,4110.0

Dijkstra,53517535,0.0211189,3910.0

Dijkstra,53795372,0.1240788,8248.0

Dijkstra,53887865,0.0343435,6398.0

Dijkstra,54230633,0.1412446,12701.0

Dijkstra,54756625,0.2169903,19452.0

Dijkstra,55124861,0.1849104,8828.0

Dijkstra,55476964,0.1607351,7360.0

Dijkstra,55694794,0.0969624,7751.0

Dijkstra,56258261,0.2557749,19573.0

Dijkstra,56375068,0.0532493,5676.0

Dijkstra,56825886,0.2063434,12976.0

Dijkstra,56903853,0.0393792,3477.0

Dijkstra,57177273,0.1758687,8254.0

Dijkstra,57351606,0.1027028,6820.0

Dijkstra,57389135,0.0216028,1691.0

Dijkstra,57597549,0.1231851,6340.0

Dijkstra,57630415,0.0201384,2782.0

Dijkstra,57876756,0.1211938,11969.0

Dijkstra,58439718,0.3340428,20676.0

Dijkstra,58652938,0.0976315,7511.0

Dijkstra,59087708,0.216399,14717.0

Dijkstra,59421611,0.2118993,13060.0

Dijkstra,59450650,0.0216346,3888.0

Dijkstra,59740609,0.152324,14068.0

Dijkstra,59889784,0.0793442,4573.0

Dijkstra,60406249,0.2892284,15834.0

Dijkstra,60851529,0.2277825,17697.0

Dijkstra,61276002,0.2646716,11070.0

Dijkstra,61443910,0.1338675,4381.0

Dijkstra,61921136,0.2970686,10758.0

Dijkstra,62238438,0.1698938,9809.0

Dijkstra,62489135,0.1339408,5902.0
