method,relaxations,time,distance
Dijkstra,176761902,0.0357503,2407.0

Dijkstra,177075745,0.241144,8182.0

Dijkstra,177272342,0.0955458,6493.0

Dijkstra,177372134,0.0651172,3076.0

Dijkstra,177492266,0.0811039,3554.0

Dijkstra,177898884,0.2371287,9740.0

Dijkstra,178392107,0.2791179,13234.0

Dijkstra,178745522,0.1866715,13183.0

Dijkstra,179278591,0.2624105,18612.0

Dijkstra,179826695,0.3306812,14078.0

Dijkstra,180078299,0.160001,9758.0

Dijkstra,180383847,0.1710347,6372.0

Dijkstra,180827550,0.2673643,12888.0

Dijkstra,180856327,0.016583,1037.0

Dijkstra,180962514,0.0518426,6103.0

Dijkstra,181362837,0.219515,11623.0

Dijkstra,181838669,0.3244046,13471.0

Dijkstra,182131512,0.1814344,11128.0

Dijkstra,182370283,0.1390119,6052.0

Dijkstra,182579722,0.1347206,7030.0

Dijkstra,182836373,0.1832427,6597.0

Dijkstra,183004278,0.1355257,6976.0

Dijkstra,183212648,0.1305829,7138.0

Dijkstra,183312409,0.0567257,3437.0

Dijkstra,183592758,0.204971,8535.0

Dijkstra,183772385,0.1234685,5358.0

