method,relaxations,time
Dijkstra,56825886,0.5451656
Dijkstra,56903853,0.1007747
Dijkstra,57177273,0.3082878
Dijkstra,57351606,0.1753939
Dijkstra,57389135,0.038404
Dijkstra,57597549,0.2040129
Dijkstra,57630415,0.0268069
Dijkstra,57876756,0.2229612
Dijkstra,58439718,0.5281013
Dijkstra,58652938,0.1602363
Dijkstra,59087708,0.3714262
Dijkstra,59421611,0.2400534
Dijkstra,59450650,0.0209618
Dijkstra,59740609,0.2208278
Dijkstra,59889784,0.1676525
Dijkstra,60406249,0.4395534
Dijkstra,60851529,0.3236559
Dijkstra,61276002,0.3388418
Dijkstra,61443910,0.1771051
Dijkstra,61921136,0.4143624
Dijkstra,62238438,0.2577956
Dijkstra,62489135,0.2046568
Dijkstra,63061636,0.4465147
Dijkstra,63083850,0.0248596
Dijkstra,63618349,0.4260633
Dijkstra,64178606,0.4883498
Dijkstra,64603976,0.34257
Dijkstra,64637764,0.0178055
Dijkstra,64965153,0.2568664
Dijkstra,65391716,0.3377472
Dijkstra,65398747,0.0162203
Dijkstra,65819959,0.3954481
Dijkstra,66145615,0.2613695
Dijkstra,66175071,0.0396706
Dijkstra,66492438,0.2611322
Dijkstra,66732270,0.2541058
Dijkstra,66983574,0.2468759
Dijkstra,67000517,0.0248504
Dijkstra,67106611,0.0786511
Dijkstra,67194379,0.0482303
Dijkstra,67416033,0.1718618
Dijkstra,67729692,0.2685099
Dijkstra,68291300,0.4999
Dijkstra,68623199,0.3102834
Dijkstra,68882043,0.2224178
Dijkstra,69452026,0.4202259
Dijkstra,69564281,0.0997013
Dijkstra,69934137,0.2666922
Dijkstra,70182195,0.1547141
Dijkstra,70536182,0.2682663
Dijkstra,70981378,0.3083142
Dijkstra,71324936,0.2207871
Dijkstra,71517259,0.1376338
Dijkstra,72052952,0.3630397
Dijkstra,72187756,0.1194294
Dijkstra,72291120,0.057032
Dijkstra,72565954,0.2320723
Dijkstra,72580901,0.0136649
Dijkstra,72804640,0.15181
Dijkstra,72836249,0.0222315
Dijkstra,73009626,0.1642969
Dijkstra,73344796,0.2596785
Dijkstra,73891842,0.3989348
Dijkstra,74002665,0.0799955
Dijkstra,74304654,0.2699485
Dijkstra,74801048,0.3738206
Dijkstra,74844665,0.0508318
Dijkstra,74875944,0.0520561
Dijkstra,74960926,0.0672825
Dijkstra,75402083,0.3375378
Dijkstra,75912372,0.3754599
Dijkstra,76195039,0.215854
Dijkstra,76496977,0.2486714
Dijkstra,76790326,0.1939978
Dijkstra,77278958,0.4070962
Dijkstra,77713952,0.3408354
Dijkstra,77980857,0.16793
Dijkstra,78107883,0.0866435
Dijkstra,78279855,0.0982923
Dijkstra,78499140,0.1491373
Dijkstra,79063533,0.4171792
Dijkstra,79392790,0.2715106
Dijkstra,79728473,0.2570141
Dijkstra,79946380,0.1870996
Dijkstra,80094562,0.1412446
Dijkstra,80281511,0.1557398
Dijkstra,80294302,0.0127785
Dijkstra,80555578,0.185292
Dijkstra,80973899,0.2871987
Dijkstra,81350943,0.2982699
Dijkstra,81903076,0.473985
Dijkstra,82079629,0.1360885
Dijkstra,82348746,0.2576819
Dijkstra,82764568,0.3841669
Dijkstra,82804561,0.0309544
Dijkstra,82825348,0.0192557
Dijkstra,82838577,0.0089786
Dijkstra,83412266,0.4398815
Dijkstra,83606204,0.1284365
Dijkstra,84178024,0.4355315
Dijkstra,84642484,0.4650887
Dijkstra,84902001,0.1945651
Dijkstra,84902916,0.0014698
Dijkstra,84984374,0.0570607
Dijkstra,85391347,0.3246653
Dijkstra,85932418,0.4279981
Dijkstra,86106888,0.1680708
Dijkstra,86562934,0.2942707
Dijkstra,86824458,0.163866
Dijkstra,87172966,0.2922074
Dijkstra,87546255,0.2920748
Dijkstra,87775938,0.1648102
Dijkstra,87999043,0.1575539
Dijkstra,88474109,0.3443158
Dijkstra,88961410,0.4416322
Dijkstra,88982313,0.0110777
Dijkstra,89204597,0.1488511
Dijkstra,89544848,0.2819187
Dijkstra,89940063,0.3492022
Dijkstra,90232406,0.2316219
Dijkstra,90677262,0.3692789
Dijkstra,91182003,0.4190574
Dijkstra,91597002,0.3180725
Dijkstra,91647627,0.0343044
Dijkstra,91672330,0.018387
Dijkstra,91795730,0.0951267
Dijkstra,91808488,0.0115993
Dijkstra,91832055,0.0202772
Dijkstra,91957079,0.112333
Dijkstra,92322667,0.2874259
Dijkstra,92601651,0.2525177
Dijkstra,92803957,0.1276728
Dijkstra,92807906,0.0048965
Dijkstra,93114924,0.2323818
Dijkstra,93455363,0.2711993
Dijkstra,93979055,0.4729402
Dijkstra,94242493,0.2076965
Dijkstra,94265582,0.0180499
Dijkstra,94396525,0.088815
Dijkstra,94934494,0.4879836
Dijkstra,95115825,0.1738627
Dijkstra,95446180,0.2627273
Dijkstra,95663970,0.1916343
Dijkstra,95819844,0.1356945
Dijkstra,96034556,0.1730884
Dijkstra,96142374,0.0968266
Dijkstra,96616726,0.3110899
Dijkstra,96853961,0.2021863
Dijkstra,97275083,0.3876622
Dijkstra,97637533,0.3694299
Dijkstra,97934372,0.239202
Dijkstra,98503287,0.4700705
Dijkstra,98916773,0.3110834
Dijkstra,99135350,0.1817726
Dijkstra,99695031,0.4759056
Dijkstra,99840948,0.1242002
Dijkstra,100364906,0.415976
Dijkstra,100552754,0.1536967
Dijkstra,100867931,0.2595356
Dijkstra,100928150,0.0377294
Dijkstra,101285773,0.2524938
Dijkstra,101323931,0.0201503
Dijkstra,101486672,0.1455613
Dijkstra,101727385,0.1811008
Dijkstra,102188207,0.3723877
Dijkstra,102315286,0.1353296
Dijkstra,102318494,0.0345192
Dijkstra,102798908,0.395242
Dijkstra,102870259,0.0692962
Dijkstra,103252844,0.2652228
Dijkstra,103524093,0.2341598
Dijkstra,103585162,0.0365271
Dijkstra,104029090,0.3504037
Dijkstra,104164118,0.1049883
Dijkstra,104512583,0.3244201
Dijkstra,104651534,0.1035259
Dijkstra,104760562,0.0748352
Dijkstra,104859257,0.0942205
Dijkstra,104955384,0.065495
Dijkstra,105000317,0.0230587
Dijkstra,105427501,0.3240351
Dijkstra,105760189,0.2510198
Dijkstra,106231036,0.3512623
Dijkstra,106294065,0.0411998
Dijkstra,106310220,0.007867
Dijkstra,106464197,0.1099215
Dijkstra,106567733,0.1009065
Dijkstra,106674796,0.068403
Dijkstra,107217517,0.4122395
Dijkstra,107760116,0.43366
Dijkstra,107879604,0.1054537
Dijkstra,108005367,0.1109615
Dijkstra,108432781,0.3954466
Dijkstra,108950496,0.4289681
Dijkstra,109173940,0.1913254
Dijkstra,109474625,0.2705381
Dijkstra,110028948,0.4952166
Dijkstra,110472051,0.4084439
Dijkstra,110726794,0.235694
Dijkstra,111132636,0.357291
Dijkstra,111442620,0.2948468
Dijkstra,111566935,0.1193564
Dijkstra,111766371,0.1572123
Dijkstra,112130009,0.3466582
Dijkstra,112367846,0.2416664
Dijkstra,112427775,0.0435497
Dijkstra,112824661,0.3537144
Dijkstra,113320505,0.4484291
Dijkstra,113534003,0.1696706
Dijkstra,113847129,0.2494567
Dijkstra,114105580,0.224935
Dijkstra,114512964,0.3965286
Dijkstra,114581446,0.0697956
Dijkstra,115042817,0.3664107
Dijkstra,115595221,0.4769959
Dijkstra,115733188,0.0886994
Dijkstra,116045842,0.2117041
Dijkstra,116143758,0.0593549
Dijkstra,116526357,0.2318617
Dijkstra,116782921,0.1868489
Dijkstra,117267959,0.3293667
Dijkstra,117797817,0.4138024
Dijkstra,118284509,0.3452351
Dijkstra,118284878,0.0014532
Dijkstra,118564404,0.1320968
Dijkstra,118663958,0.0505741
Dijkstra,118997696,0.1620709
Dijkstra,119494620,0.3508377
Dijkstra,119995598,0.3446741
Dijkstra,120045713,0.0258658
Dijkstra,120602504,0.417585
Dijkstra,120943969,0.4468188
Dijkstra,121313138,0.268695
Dijkstra,121484359,0.1223908
Dijkstra,121940003,0.3129799
Dijkstra,121976979,0.0250964
Dijkstra,122534369,0.3621056
Dijkstra,122617973,0.0463122
Dijkstra,123109421,0.401842
Dijkstra,123622463,0.4104017
Dijkstra,124006605,0.228
Dijkstra,124168631,0.0923496
Dijkstra,124401135,0.1408616
Dijkstra,124693105,0.1876417
Dijkstra,125262846,0.3728218
Dijkstra,125550943,0.1870736
Dijkstra,125796362,0.1961111
Dijkstra,126131080,0.307295
Dijkstra,126304699,0.1912937
Dijkstra,126511133,0.1698821
Dijkstra,127047130,0.4734552
Dijkstra,127617195,0.4801989
Dijkstra,128033268,0.3171111
Dijkstra,128435670,0.3482595
Dijkstra,128902552,0.3431279
Dijkstra,129099999,0.1632174
Dijkstra,129533527,0.3036028
Dijkstra,129646899,0.0789939
Dijkstra,129849215,0.1719948
Dijkstra,130017331,0.1132597
Dijkstra,130324619,0.1944861
Dijkstra,130775453,0.2955601
Dijkstra,130990684,0.1346659
Dijkstra,131554090,0.4047302
Dijkstra,131760935,0.1239154
Dijkstra,132041596,0.186335
Dijkstra,132503795,0.2880685
Dijkstra,132804670,0.1932057
Dijkstra,133369648,0.3167617
Dijkstra,133485191,0.0650422
Dijkstra,134018176,0.3040587
Dijkstra,134570521,0.2519241
Dijkstra,134652256,0.0335066
Dijkstra,134766539,0.0480239
Dijkstra,135220668,0.2054343
Dijkstra,135346952,0.054971
Dijkstra,135878439,0.2460695
Dijkstra,136019575,0.0604428
Dijkstra,136469672,0.2073432
Dijkstra,136804716,0.1528281
Dijkstra,136821324,0.0068684
Dijkstra,137264079,0.1947016
Dijkstra,137274186,0.004255
Dijkstra,137731057,0.2171781
Dijkstra,137777950,0.0213026
Dijkstra,137792522,0.0074067
Dijkstra,137931217,0.081933
Dijkstra,138393507,0.2377945
Dijkstra,138592348,0.0785867
Dijkstra,139050416,0.2049776
Dijkstra,139372573,0.1351004
Dijkstra,139560295,0.0815123
Dijkstra,140067809,0.218738
Dijkstra,140157420,0.0513312
Dijkstra,140715378,0.2872955
Dijkstra,140986233,0.1968979
Dijkstra,141355132,0.1804504
Dijkstra,141633715,0.1179214
Dijkstra,141746722,0.0499649
Dijkstra,142035029,0.1365111
Dijkstra,142328351,0.1231811
Dijkstra,142731292,0.1846532
Dijkstra,142734316,0.0019513
Dijkstra,143172448,0.2074117
Dijkstra,143698903,0.2365779
Dijkstra,143979474,0.1221374
Dijkstra,144145597,0.0888093
Dijkstra,144628353,0.2095291
Dijkstra,144908280,0.1336409
Dijkstra,145102878,0.07625
Dijkstra,145117607,0.0063082
Dijkstra,145516088,0.1850085
Dijkstra,145942730,0.2066645
Dijkstra,146185899,0.1011047
Dijkstra,146641619,0.1898933
Dijkstra,146987940,0.14148
Dijkstra,147070791,0.0390436
Dijkstra,147615694,0.2722011
Dijkstra,148096184,0.2126046
Dijkstra,148457683,0.1580039
Dijkstra,148975982,0.2217281
Dijkstra,149353240,0.1784137
Dijkstra,149683208,0.1563988
Dijkstra,149818557,0.056065
Dijkstra,150186062,0.1666639
Dijkstra,150557122,0.1649336
Dijkstra,150705368,0.0679591
Dijkstra,151232315,0.2499977
Dijkstra,151549519,0.1735213
Dijkstra,151589506,0.0229726
Dijkstra,151855464,0.1476832
Dijkstra,151922488,0.029497
Dijkstra,152309847,0.1690609
Dijkstra,152803787,0.2075786
Dijkstra,153214664,0.1780829
Dijkstra,153271953,0.0242116
Dijkstra,153389137,0.0487769
Dijkstra,153404362,0.0063661
Dijkstra,153844074,0.1998899
Dijkstra,154360607,0.2341634
Dijkstra,154380008,0.0078054
Dijkstra,154794944,0.1880157
Dijkstra,155028798,0.1006679
Dijkstra,155158309,0.0583773
Dijkstra,155310680,0.0684407
Dijkstra,155714736,0.1853886
Dijkstra,156055835,0.158615
Dijkstra,156391633,0.1636268
Dijkstra,156469253,0.0319016
Dijkstra,156828189,0.1513765
Dijkstra,156986177,0.0746241
Dijkstra,157388173,0.1926995
Dijkstra,157534463,0.0644002
Dijkstra,157680461,0.0723172
Dijkstra,157731065,0.0209603
Dijkstra,158121399,0.1659303
Dijkstra,158531695,0.1746554
Dijkstra,158586865,0.0216582
Dijkstra,158865959,0.1266574
Dijkstra,159018318,0.0694796
Dijkstra,159282902,0.1158571
Dijkstra,159672021,0.1800302
Dijkstra,159751206,0.0317314
Dijkstra,159778761,0.0131793
Dijkstra,160202028,0.1841307
Dijkstra,160612832,0.174623
Dijkstra,161132670,0.2380014
Dijkstra,161386416,0.1417609
Dijkstra,161569453,0.0834636
Dijkstra,161586581,0.0061696
Dijkstra,161905684,0.1250568
Dijkstra,162199514,0.1213847
Dijkstra,162539893,0.1503715
Dijkstra,162661965,0.0610069
Dijkstra,162812073,0.074082
Dijkstra,163074409,0.1342078
Dijkstra,163483173,0.1724418
Dijkstra,163714452,0.0978319
Dijkstra,164103828,0.1835641
Dijkstra,164260776,0.1099633
Dijkstra,164656868,0.1942463
Dijkstra,165147015,0.2238714
Dijkstra,165293128,0.0639294
Dijkstra,165780349,0.2285555
Dijkstra,166301395,0.2299904
Dijkstra,166742174,0.1959375
Dijkstra,167128987,0.1783894
Dijkstra,167388922,0.1126508
Dijkstra,167467063,0.0306106
Dijkstra,167907380,0.1938324
Dijkstra,168010238,0.0422244
Dijkstra,168215457,0.0968092
Dijkstra,168694003,0.2170892
Dijkstra,168734809,0.0160721
Dijkstra,169065584,0.1531836
Dijkstra,169154989,0.0388847
Dijkstra,169180232,0.0100497
Dijkstra,169532358,0.1616208
Dijkstra,169668189,0.0583076
Dijkstra,169921933,0.1095573
Dijkstra,170444432,0.2533162
Dijkstra,170767020,0.141484
Dijkstra,170994727,0.1041834
Dijkstra,171548384,0.3040359
Dijkstra,171677078,0.0543535
Dijkstra,172176179,0.2100384
Dijkstra,172392152,0.0861175
Dijkstra,172438850,0.0223931
Dijkstra,172679874,0.1060141
Dijkstra,172713394,0.015432
Dijkstra,173047106,0.1619264
Dijkstra,173290399,0.1094161
Dijkstra,173373580,0.0336595
Dijkstra,173591637,0.1282581
Dijkstra,174150449,0.2702912
